model,accuracy,precision,recall,f1,roc_auc,fit_time_s
XGBoost,0.7518900343642612,0.49701492537313435,0.9327731092436975,0.6484907497565725,0.9356813763756869,10.19
RandomForest,0.6611683848797251,0.4128205128205128,0.9019607843137255,0.5664028144239226,0.8993624772313298,3.13
KNN,0.6309278350515464,0.3918269230769231,0.9131652661064426,0.5483599663582843,0.8788732250641605,0.02
LogisticRegression,0.6687285223367697,0.4156545209176788,0.8627450980392157,0.5610200364298725,0.8631762358859755,0.33
